t=0 enPsi maxBondDim enPhi svn(x) 
1.4 -67.6571 357 -65.8348 -3.83795e-05 -0.000130029 -0.000208765 -0.000253042 -0.000272217 -0.00026886 -0.000159085 0.000860783 0.0112285 0.061788 0.29899 0.585027 0.585024 0.298942 0.0617629 0.0112203 0.0008635 -0.000157879 -0.000268253 -0.000272079 -0.000253462 -0.000210772 -0.000132705 -3.95069e-05 
1.5 -67.6571 379 -65.8348 -3.94595e-05 -0.00013029 -0.000208792 -0.00025883 -0.000282477 -0.000275822 -9.56379e-05 0.00145662 0.0155757 0.078633 0.332923 0.612444 0.612445 0.332872 0.0786035 0.0155662 0.0014598 -9.44796e-05 -0.000275257 -0.00028193 -0.000259296 -0.000210639 -0.000133094 -4.06271e-05 
1.6 -67.6571 402 -65.8348 -4.14662e-05 -0.000130394 -0.000207473 -0.000262695 -0.000290073 -0.00027695 8.99132e-06 0.0023098 0.0211342 0.0980074 0.366406 0.636382 0.636387 0.366353 0.0979722 0.0211238 0.00231309 1.00962e-05 -0.000276429 -0.000289336 -0.000263311 -0.000209299 -0.000133493 -4.2761e-05 
1.7 -67.6571 426 -65.8348 -4.50893e-05 -0.000131868 -0.00020743 -0.000266618 -0.000296075 -0.000270262 0.000171422 0.00350353 0.0281085 0.119885 0.399433 0.658358 0.658364 0.399377 0.119843 0.0280978 0.00350641 0.00017252 -0.000269714 -0.000295218 -0.000267169 -0.000209227 -0.000135228 -4.65712e-05 
1.8 -67.6571 449 -65.8348 -5.07614e-05 -0.000136036 -0.000211112 -0.000272313 -0.000301451 -0.00025314 0.000413569 0.00513995 0.0367007 0.144167 0.432135 0.679919 0.679923 0.432077 0.14412 0.0366903 0.00514175 0.000414685 -0.000252576 -0.000300744 -0.000272798 -0.000212939 -0.000139827 -5.25064e-05 
1.9 -67.6571 474 -65.8348 -5.86683e-05 -0.00014445 -0.000220865 -0.000281873 -0.000307398 -0.000221776 0.000764267 0.00734127 0.0470987 0.170687 0.464731 0.702261 0.702259 0.464673 0.170635 0.0470893 0.00734121 0.000765336 -0.000221246 -0.000306986 -0.0002823 -0.000222749 -0.000148587 -6.06516e-05 
2 -67.6571 500 -65.8348 -6.84699e-05 -0.0001578 -0.000238175 -0.000296897 -0.00031458 -0.00017052 0.00126078 0.0102494 0.0594634 0.199211 0.497463 0.725894 0.725881 0.497407 0.199157 0.0594548 0.0102467 0.00126187 -0.000169958 -0.000314448 -0.000297297 -0.000240166 -0.000162441 -7.07125e-05 
2.1 -67.6571 528 -65.8348 -7.95449e-05 -0.000176628 -0.000263677 -0.000318512 -0.000323151 -9.13784e-05 0.00195043 0.0140236 0.0739158 0.22945 0.530533 0.750481 0.750455 0.530479 0.229398 0.0739075 0.0140178 0.0019516 -9.05831e-05 -0.000323059 -0.000318871 -0.00026573 -0.000181547 -8.19426e-05 
2.2 -67.6571 557 -65.8349 -9.08727e-05 -0.000200473 -0.000296807 -0.000346945 -0.000331994 2.73206e-05 0.0028925 0.018837 0.0905257 0.261076 0.564032 0.774947 0.774906 0.563978 0.261028 0.0905166 0.0188274 0.00289371 2.83976e-05 -0.000331886 -0.000347459 -0.000299065 -0.000205507 -9.3332e-05 
2.3 -67.6571 588 -65.8349 -0.000101391 -0.000228652 -0.000336214 -0.000381819 -0.000338941 0.000201433 0.00415971 0.02487 0.109302 0.293732 0.597896 0.797785 0.79773 0.59784 0.293688 0.109291 0.0248563 0.00416094 0.000202846 -0.00033873 -0.000382532 -0.000338764 -0.000233589 -0.000103818 
