h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -124.615 0.000601676 1600 0.0671913 0.00116056 1600 
0.1 -130.654 0.000249188 488 1.16372 0.000260736 1255 
0.2 -138.095 0.00029395 333 1.63534 0.000285905 917 
0.3 -146.053 0.000329179 255 1.98892 0.000317651 698 
0.4 -154.338 0.000411362 203 2.28204 0.000388886 553 
0.5 -162.86 0.000475482 170 2.53981 0.000447773 452 
0.6 -171.564 0.000481964 149 2.77643 0.000459695 381 
0.7 -180.412 0.000547608 131 3.00015 0.000522817 329 
0.8 -189.379 0.000553742 118 3.21577 0.00053716 289 
0.9 -198.447 0.000815669 107 3.42609 0.000760146 253 
1 -207.598 0.00185406 90 3.63286 0.00169999 226 
1.1 -216.823 0.00218304 78 3.83719 0.0020253 201 
1.2 -226.111 0.00208644 69 4.03978 0.00196294 183 
1.3 -235.454 0.00177093 65 4.24113 0.00167392 167 
1.4 -244.845 0.0135655 62 4.44144 0.0124663 158 
1.5 -254.281 0.0130874 45 4.64119 0.011814 150 
1.6 -263.756 0.0116064 43 4.84052 0.0106969 143 
1.7 -273.266 0.0102456 42 5.03945 0.00940341 133 
1.8 -282.807 0.00919114 45 5.23814 0.00862801 125 
1.9 -292.376 0.00826287 40 5.43661 0.00776682 118 
2 -301.971 0.00751542 39 5.63493 0.00707438 112 
2.1 -311.59 0.00681405 38 5.83315 0.0064159 106 
2.2 -321.23 0.00622185 37 6.0313 0.00589371 101 
2.3 -330.89 0.00582328 36 6.22942 0.005567 97 
2.4 -340.568 0.00526633 35 6.4275 0.00505577 92 
2.5 -350.263 0.00476341 34 6.62558 0.0045853 89 
2.6 -359.973 0.00434528 33 6.82366 0.00419186 87 
2.7 -369.697 0.00395317 32 7.02175 0.00382913 85 
2.8 -379.435 0.003553 31 7.21986 0.0034519 83 
2.9 -389.184 0.00647762 31 7.41799 0.00615735 82 
3 -398.946 0.00593975 30 7.61615 0.00566559 79 
3.1 -408.718 0.00542386 29 7.81435 0.0052639 78 
3.2 -418.5 0.004919 29 8.01257 0.00476962 75 
3.3 -428.291 0.00447254 29 8.21084 0.00436227 71 
3.4 -438.091 0.00407598 29 8.40914 0.00403919 70 
3.5 -447.899 0.00418356 29 8.60747 0.00413792 68 
3.6 -457.715 0.00499801 28 8.80584 0.00492886 66 
3.7 -467.538 0.00461451 28 9.00426 0.00453014 63 
3.8 -477.368 0.00426079 28 9.2027 0.00421086 61 
3.9 -487.205 0.00410084 27 9.40119 0.0040637 59 
4 -497.047 0.00419315 26 9.59971 0.00412009 58 
4.1 -506.896 0.00387647 26 9.79827 0.00381812 57 
4.2 -516.749 0.00396147 26 9.99686 0.00388668 55 
4.3 -526.608 0.0039082 26 10.1955 0.00389629 54 
4.4 -536.472 0.00377965 25 10.3941 0.00375258 53 
4.5 -546.34 0.00380836 25 10.5928 0.00377904 49 
4.6 -556.213 0.00382993 24 10.7916 0.00390667 46 
4.7 -566.09 0.00362014 24 10.9903 0.00366549 44 
4.8 -575.971 0.00380131 24 11.1891 0.00380799 44 
