h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -18.1641 5.85735e-06 43 0.554064 7.84642e-06 69 
0.1 -18.6656 6.94851e-06 37 0.913811 8.18874e-06 77 
0.2 -19.6425 8.7012e-06 29 1.32275 1.62536e-05 73 
0.3 -20.7921 9.57784e-06 25 1.6365 7.75394e-06 55 
0.4 -22.0359 8.7012e-06 21 1.90342 9.11409e-06 48 
0.5 -23.3413 9.58708e-06 19 2.14345 9.47106e-06 44 
0.6 -24.6909 9.77678e-06 17 2.36664 1.07023e-05 40 
0.7 -26.0741 1.10484e-05 15 2.57918 1.16017e-05 36 
0.8 -27.4838 1.2025e-05 14 2.78506 1.25509e-05 32 
0.9 -28.9149 8.70812e-06 13 2.9868 1.17659e-05 31 
1 -30.3639 5.77322e-06 13 3.186 1.13081e-05 29 
1.1 -31.8277 1.31548e-05 12 3.38364 1.49003e-05 27 
1.2 -33.3042 9.81241e-06 12 3.58034 1.25762e-05 26 
1.3 -34.7916 9.88073e-06 12 3.7765 1.36854e-05 23 
1.4 -36.2885 8.40492e-06 12 3.97238 1.54458e-05 22 
1.5 -37.7938 1.15006e-05 12 4.16813 1.51223e-05 21 
1.6 -39.3063 1.62132e-05 12 4.36385 1.62238e-05 20 
1.7 -40.8253 2.56482e-05 12 4.55962 1.92311e-05 19 
1.8 -42.35 2.05889e-05 12 4.75547 2.09822e-05 19 
1.9 -43.8799 1.89911e-05 10 4.95145 2.1297e-05 18 
2 -45.4145 2.63603e-05 10 5.14754 2.51033e-05 18 
2.1 -46.9533 3.24926e-05 9 5.34378 3.48461e-05 17 
2.2 -48.4958 2.67615e-05 9 5.54016 2.98856e-05 16 
2.3 -50.0418 2.35152e-05 9 5.73668 2.77507e-05 16 
2.4 -51.591 1.95873e-05 9 5.93333 2.35007e-05 15 
2.5 -53.143 2.15622e-05 9 6.13012 2.0767e-05 15 
2.6 -54.6977 2.37206e-05 8 6.32705 2.14617e-05 15 
2.7 -56.2548 2.54009e-05 8 6.52409 2.10726e-05 14 
2.8 -57.8141 3.59664e-05 8 6.72126 3.1207e-05 14 
2.9 -59.3756 3.47516e-05 8 6.91854 3.13905e-05 13 
3 -60.9389 2.98267e-05 8 7.11593 2.72797e-05 13 
3.1 -62.504 2.57116e-05 8 7.31342 2.35308e-05 13 
3.2 -64.0707 2.22563e-05 8 7.51102 2.28953e-05 12 
3.3 -65.639 1.93415e-05 8 7.7087 1.98787e-05 12 
3.4 -67.2087 1.68719e-05 8 7.90648 3.52428e-05 12 
3.5 -68.7798 1.47704e-05 8 8.10434 1.82676e-05 11 
3.6 -70.3521 1.29751e-05 8 8.30227 1.41543e-05 11 
3.7 -71.9255 1.14355e-05 8 8.50029 1.25631e-05 8 
3.8 -73.5001 1.01103e-05 8 8.69838 1.11064e-05 8 
3.9 -75.0757 8.96544e-06 8 8.89653 9.84929e-06 8 
4 -76.6522 7.97323e-06 8 9.09475 8.76058e-06 8 
4.1 -78.2297 7.11043e-06 8 9.29304 7.81444e-06 8 
4.2 -79.808 8.91606e-06 8 9.49138 2.00093e-05 8 
4.3 -81.3872 1.88387e-05 8 9.68978 1.83259e-05 8 
4.4 -82.9671 3.21769e-05 7 9.88823 2.48906e-05 8 
4.5 -84.5478 2.97159e-05 7 10.0867 2.29333e-05 8 
4.6 -86.1291 3.84449e-05 8 10.2853 3.52178e-05 8 
4.7 -87.7111 9.69526e-05 7 10.4839 8.07389e-05 8 
4.8 -89.2937 9.80491e-05 7 10.6825 8.17066e-05 8 
4.9 -90.8769 9.22963e-05 7 10.8812 8.21984e-05 8 
5 -92.4606 9.04667e-05 6 11.0799 8.57585e-05 8 
5.1 -94.0449 8.72276e-05 6 11.2787 8.12176e-05 8 
5.2 -95.6297 8.22442e-05 6 11.4775 7.8441e-05 8 
5.3 -97.2149 8.79103e-05 6 11.6763 8.07259e-05 8 
5.4 -98.8006 8.30376e-05 6 11.8752 7.62608e-05 8 
5.5 -100.387 7.84767e-05 6 12.0741 7.20795e-05 8 
5.6 -101.973 7.81134e-05 6 12.273 7.33917e-05 8 
5.7 -103.56 0.000141232 6 12.472 0.000125547 8 
5.8 -105.148 0.000133065 6 12.671 0.000123562 8 
5.9 -106.735 0.000136219 5 12.87 0.000121869 8 
6 -108.324 0.000128544 5 13.069 0.000114988 8 
6.1 -109.912 0.000121401 5 13.2681 0.000108586 8 
6.2 -111.501 0.000114747 5 13.4672 0.000102622 8 
6.3 -113.09 0.000108541 5 13.6663 9.70617e-05 8 
6.4 -114.679 0.000102749 5 13.8655 9.18722e-05 8 
6.5 -116.269 9.73368e-05 5 14.0646 8.70245e-05 8 
6.6 -117.859 9.22757e-05 5 14.2638 8.71421e-05 8 
6.7 -119.449 8.75389e-05 5 14.463 8.2648e-05 8 
6.8 -121.039 8.31014e-05 5 14.6622 7.84395e-05 8 
6.9 -122.63 7.89412e-05 5 14.8615 7.55763e-05 7 
7 -124.221 7.50374e-05 5 15.0607 7.18168e-05 7 
7.1 -125.812 7.13718e-05 5 15.26 6.8288e-05 7 
7.2 -127.403 8.81452e-05 5 15.4593 8.1822e-05 7 
7.3 -128.995 8.39857e-05 5 15.6586 7.79393e-05 7 
7.4 -130.586 8.33914e-05 4 15.858 7.60304e-05 7 
7.5 -132.178 7.95489e-05 4 16.0573 7.26618e-05 7 
7.6 -133.77 7.59248e-05 4 16.2567 6.93411e-05 7 
7.7 -135.363 7.25044e-05 4 16.456 6.62093e-05 7 
7.8 -136.955 6.92744e-05 4 16.6554 6.32539e-05 7 
7.9 -138.548 6.62219e-05 4 16.8548 6.04633e-05 7 
8 -140.141 6.33355e-05 4 17.0542 5.91445e-05 7 
8.1 -141.733 6.06045e-05 4 17.2536 5.65982e-05 7 
