h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -67.6571 0.00942385 370 0.279714 0.00958061 518 
0.5 -86.387 0.0120136 76 2.70932 0.000136585 176 
1 -108.794 0.0152777 48 3.96186 0.000225084 98 
1.5 -132.144 0.0178001 38 5.04971 0.000306246 68 
2 -155.981 0.0194875 29 6.08293 0.00036725 53 
2.5 -180.111 0.0232617 24 7.09498 0.000523177 47 
3 -204.435 0.0190718 21 8.09806 0.000370048 42 
3.5 -228.894 0.0163371 21 9.09713 0.000286666 38 
4 -253.451 0.0233519 20 10.0944 0.000536156 34 
4.5 -278.082 0.0287988 18 11.0909 0.00079207 30 
5 -302.769 0.0331852 17 12.0871 0.00105429 29 
5.5 -327.5 0.0340327 15 13.0833 0.00112929 27 
6 -352.268 0.0358702 14 14.0796 0.00124825 26 
6.5 -377.064 0.0384902 13 15.0762 0.00142867 24 
7 -401.884 0.0339621 13 16.0729 0.00114132 23 
7.5 -426.724 0.0319359 11 17.0698 0.00100683 23 
8 -451.581 0.0285931 11 18.067 0.000822141 22 
8.5 -476.452 0.0257484 11 19.0643 0.000676489 22 
9 -501.335 0.0233075 11 20 19653.1 13 
