h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -99.7802 0.00137692 1600 0.121986 0.00195881 1600 
0.1 -104.583 0.000273883 756 1.2561 0.000407528 1600 
0.2 -110.372 0.000301921 520 1.77913 0.000323649 1362 
0.3 -116.49 0.000334985 400 2.18471 0.000336196 1106 
0.4 -122.817 0.000388481 325 2.53106 0.00037656 910 
0.5 -129.295 0.000435716 270 2.84014 0.000416834 755 
0.6 -135.89 0.000491903 233 3.12317 0.000466112 639 
0.7 -142.58 0.000526415 204 3.38697 0.000499692 550 
0.8 -149.348 0.000610811 181 3.63615 0.000567357 482 
0.9 -156.182 0.000708296 163 3.87181 0.00293182 424 
1 -163.073 0.000971411 146 4.05004 0.00101738 300 
1.1 -170.013 0.00107028 130 4.25448 0.000998744 269 
1.2 -176.995 0.00110578 117 4.4582 0.00105574 247 
1.3 -184.016 0.00117203 108 4.66125 0.00114089 229 
1.4 -191.071 0.00136333 98 4.86373 0.00130913 214 
1.5 -198.155 0.00123839 93 5.06574 0.00118903 200 
1.6 -205.267 0.00122214 92 5.26735 0.00117726 188 
1.7 -212.402 0.00131331 84 5.46862 0.00126947 180 
1.8 -219.56 0.00150168 82 5.6696 0.00145687 170 
1.9 -226.738 0.00218585 77 5.87033 0.0021594 160 
2 -233.935 0.00328215 70 6.07084 0.00311585 154 
2.1 -241.148 0.00322743 67 6.27118 0.0030437 148 
2.2 -248.377 0.00323211 64 6.47137 0.00305379 141 
2.3 -255.62 0.00317303 62 6.67143 0.00303236 136 
2.4 -262.876 0.00309501 60 6.87138 0.00296414 132 
2.5 -270.144 0.00295539 57 7.07124 0.00285454 127 
2.6 -277.423 0.00374123 55 7.27102 0.00360268 123 
2.7 -284.713 0.00365209 51 7.47072 0.00348537 120 
2.8 -292.012 0.004023 50 7.67037 0.00381862 116 
2.9 -299.32 0.00350727 48 7.86998 0.0033681 112 
3 -306.637 0.00344887 47 8.06954 0.00329267 110 
3.1 -313.962 0.00505208 46 8.26907 0.00489893 106 
3.2 -321.294 0.00451614 45 8.46857 0.00431809 103 
3.3 -328.633 0.00495223 43 8.66804 0.00464626 101 
3.4 -335.979 0.00478295 42 8.8675 0.00455683 98 
3.5 -343.33 0.00497229 42 9.06695 0.00481318 94 
3.6 -350.687 0.00767903 40 9.26625 0.00498891 91 
3.7 -358.05 0.00757807 39 9.46568 0.00496285 88 
3.8 -365.418 0.00772272 39 9.6651 0.00520291 86 
3.9 -372.791 0.00730659 38 9.86451 0.00489159 83 
4 -380.169 0.00748244 38 10.0639 0.00514427 82 
4.1 -387.55 0.00706108 38 10.2633 0.00481042 80 
4.2 -394.936 0.00673353 38 10.4627 0.00455881 78 
4.3 -402.326 0.00661341 37 10.6622 0.004542 75 
4.4 -409.719 0.00636673 37 10.8616 0.00437147 76 
4.5 -417.116 0.00622688 36 11.061 0.00430912 74 
4.6 -424.517 0.00605506 36 11.2604 0.00421534 71 
4.7 -431.92 0.00601558 35 11.4598 0.00421237 70 
4.8 -439.326 0.0194936 35 11.6592 0.017116 68 
4.9 -446.736 0.0196542 34 11.8586 0.0166862 67 
5 -454.148 0.0192909 34 12.0581 0.0170538 66 
5.1 -461.563 0.0186757 34 12.2575 0.0164986 65 
5.2 -468.98 0.0182087 33 12.457 0.0161084 64 
5.3 -476.4 0.0178529 33 12.6564 0.0157857 63 
5.4 -483.822 0.017382 33 12.8559 0.0153476 62 
5.5 -491.246 0.0175952 32 13.0554 0.0156076 60 
5.6 -498.673 0.0172063 31 13.2548 0.0152519 60 
5.7 -506.101 0.016742 31 13.4543 0.0148827 58 
5.8 -513.532 0.0163948 30 13.6538 0.014557 59 
5.9 -520.964 0.0161548 30 13.8533 0.0143922 58 
6 -528.398 0.015677 29 14.0528 0.0139797 56 
6.1 -535.834 0.015477 29 14.2523 0.0138099 56 
6.2 -543.271 0.0151656 28 14.4518 0.0135467 55 
6.3 -550.71 0.0148936 28 14.6514 0.0133184 54 
6.4 -558.151 0.0146153 27 14.8509 0.013078 53 
6.5 -565.593 0.0144308 27 15.0504 0.0129267 53 
6.6 -573.036 0.0140261 27 15.25 0.0125733 52 
6.7 -580.481 0.0140531 27 15.4495 0.0126285 51 
6.8 -587.927 0.0137496 27 15.6491 0.012361 50 
6.9 -595.375 0.0133205 26 15.8486 0.0119859 50 
7 -602.824 0.013386 26 16.0482 0.0120549 50 
7.1 -610.273 0.0130046 25 16.2478 0.0117341 49 
7.2 -617.724 0.013088 24 16.4474 0.0118302 49 
7.3 -625.177 0.012768 24 16.647 0.0115403 47 
7.4 -632.63 0.0123848 23 16.8466 0.0112107 46 
7.5 -640.084 0.0120104 23 17.0462 0.010873 46 
7.6 -647.539 0.0116526 23 17.2458 0.0105542 46 
7.7 -654.995 0.0113771 23 17.4454 0.0103019 45 
7.8 -662.453 0.0110906 23 17.645 0.0100534 45 
7.9 -669.911 0.0107811 23 17.8446 0.00975548 45 
8 -677.37 0.0107751 22 18.0442 0.0097805 44 
8.1 -684.829 0.0104764 22 18.2439 0.00952608 43 
