time en(t) enf(t) enf(t)-en0 svN(t) localEn(t) localEn(t)-localEn0 SzSz(t) corrPerp(t)
0 -108.284 -19.3429 4.58432 0.0468946 0.0437215 0.0437476 0.0438154 0.0438153 0.0437475 0.0437216 0.0468944 -2.86237 -2.26924 -2.2698 -2.27003 -2.27003 -2.2698 -2.26924 -2.86237 0.925169 0.430319 0.472695 0.463976 0.463976 0.472695 0.430319 0.92517 0.244598 -0.24413 0.244188 -0.245637 1 -0.245637 0.244188 -0.24413 0.244598 5.39957e-06 -0.000121137 0.00296891 -0.0760968 1 -0.0760956 0.00296881 -0.000121128 5.38725e-06 
0.1 -108.261 -19.3432 4.58404 0.0468933 0.043721 0.0437535 0.0438543 0.0438546 0.0437533 0.0437213 0.0468934 -2.86237 -2.26924 -2.26982 -2.27015 -2.27015 -2.26982 -2.26924 -2.86237 0.925172 0.43032 0.47268 0.46385 0.46385 0.47268 0.430319 0.925172 0.244594 -0.244126 0.244184 -0.245633 1 -0.245633 0.244184 -0.244126 0.244594 5.3557e-06 -0.000120838 0.00297029 -0.0761352 1 -0.076135 0.00297012 -0.000120829 5.35514e-06 
0.2 -108.223 -19.3441 4.58312 0.0468913 0.0437225 0.0437746 0.0439799 0.0439784 0.0437744 0.0437227 0.0468918 -2.86237 -2.26925 -2.26987 -2.27056 -2.27056 -2.26987 -2.26925 -2.86237 0.925175 0.430314 0.472624 0.463444 0.463447 0.472624 0.430314 0.925174 0.244581 -0.244113 0.24417 -0.245621 1 -0.245621 0.24417 -0.244113 0.244581 5.344e-06 -0.000120915 0.00297547 -0.0762597 1 -0.0762583 0.00297518 -0.000120911 5.34981e-06 
0.3 -108.16 -19.3456 4.5816 0.0468916 0.0437286 0.0438114 0.044181 0.0441799 0.0438115 0.0437289 0.0468922 -2.86237 -2.26926 -2.26997 -2.2712 -2.2712 -2.26997 -2.26926 -2.86237 0.925174 0.430298 0.472529 0.462798 0.462801 0.472528 0.430297 0.925172 0.24456 -0.244092 0.244148 -0.2456 1 -0.2456 0.244148 -0.244092 0.24456 5.36255e-06 -0.000121303 0.00298464 -0.0764594 1 -0.0764588 0.0029847 -0.000121314 5.3673e-06 
0.4 -108.058 -19.3477 4.57953 0.0468959 0.0437408 0.0438643 0.0444501 0.0444509 0.0438645 0.0437412 0.0468965 -2.86238 -2.26929 -2.2701 -2.27206 -2.27206 -2.2701 -2.26929 -2.86238 0.925164 0.430268 0.472393 0.46194 0.461939 0.472393 0.430267 0.925163 0.244532 -0.244064 0.244118 -0.245574 1 -0.245574 0.244118 -0.244064 0.244532 5.41302e-06 -0.000122052 0.00299827 -0.0767277 1 -0.0767283 0.00299856 -0.000122062 5.41095e-06 
0.5 -107.892 -19.3508 4.57637 0.0469017 0.0437583 0.0439457 0.0448644 0.0448651 0.0439457 0.0437586 0.0469019 -2.86239 -2.26934 -2.27031 -2.27338 -2.27338 -2.27031 -2.26934 -2.86239 0.92515 0.430224 0.472186 0.460627 0.460625 0.472186 0.430224 0.92515 0.244489 -0.24402 0.244073 -0.245532 1 -0.245532 0.244073 -0.24402 0.244489 5.46214e-06 -0.000122996 0.0030186 -0.0771373 1 -0.0771384 0.00301867 -0.000122993 5.45798e-06 
0.6 -107.624 -19.3562 4.57095 0.0469065 0.0437836 0.0440841 0.0455856 0.0455859 0.0440838 0.0437838 0.0469066 -2.86241 -2.2694 -2.27066 -2.27565 -2.27565 -2.27066 -2.2694 -2.8624 0.925136 0.430159 0.47183 0.458351 0.45835 0.471831 0.430158 0.925137 0.244413 -0.243944 0.243993 -0.245459 1 -0.245459 0.243993 -0.243944 0.244413 5.50986e-06 -0.000124331 0.00305231 -0.0778456 1 -0.077849 0.00305218 -0.000124328 5.51175e-06 
0.7 -107.198 -19.3653 4.56186 0.0469129 0.0438259 0.0443194 0.0468046 0.046805 0.0443191 0.0438261 0.0469133 -2.86243 -2.26951 -2.27127 -2.27946 -2.27946 -2.27127 -2.26951 -2.86243 0.925116 0.430048 0.471224 0.454545 0.454545 0.471225 0.430047 0.925115 0.244284 -0.243814 0.243856 -0.245334 1 -0.245334 0.243856 -0.243814 0.244284 5.60814e-06 -0.000126711 0.00310936 -0.0790321 1 -0.0790362 0.00310947 -0.000126728 5.61563e-06 
0.8 -106.534 -19.3797 4.54753 0.0469271 0.0438994 0.0447048 0.0487448 0.0487448 0.0447034 0.0438998 0.0469278 -2.86246 -2.2697 -2.27226 -2.2854 -2.2854 -2.27226 -2.2697 -2.86247 0.925077 0.429859 0.470233 0.448599 0.448599 0.470236 0.429858 0.925075 0.244075 -0.243603 0.243634 -0.24513 1 -0.24513 0.243634 -0.243603 0.244075 5.81002e-06 -0.000130863 0.00320173 -0.0808921 1 -0.0808912 0.00320183 -0.000130867 5.81214e-06 
0.9 -105.529 -19.4016 4.52564 0.0469546 0.044022 0.0453269 0.0517541 0.0517537 0.0453329 0.0440223 0.0469551 -2.86254 -2.27002 -2.27386 -2.29436 -2.29436 -2.27387 -2.27002 -2.86254 0.925004 0.429545 0.468634 0.439641 0.439643 0.468623 0.429545 0.925002 0.243742 -0.243267 0.24328 -0.244804 1 -0.244804 0.24328 -0.243267 0.243742 6.13004e-06 -0.000137392 0.00334581 -0.0837102 1 -0.0837046 0.00334654 -0.000137394 6.12419e-06 
