time en(t) enf(t) enf(t)-en0 svN(t) localEn(t) localEn(t)-localEn0 SzSz(t) Sperp(t)
1.7 -45.7026 -10.45 3.08979 0.393432 -0.293274 -0.287671 -0.288558 -0.312667 -0.322984 -0.385475 -0.322983 -0.312666 -0.288557 -0.287857 -0.285684 -0.331305 0.252569 0.145797 0.175624 0.141246 0.133512 0.0701324 0.132625 0.143829 0.165357 0.176326 0.147784 0.214538 
1.8 -43.6147 -10.5095 3.03025 0.444942 -0.293274 -0.287531 -0.291436 -0.316318 -0.327355 -0.392743 -0.327352 -0.316316 -0.291432 -0.287717 -0.285585 -0.332911 0.25257 0.145937 0.172746 0.137596 0.12914 0.062865 0.128255 0.140179 0.162482 0.176465 0.147883 0.212933 
1.9 -41.1205 -10.5738 2.96597 0.493145 -0.293272 -0.287299 -0.296171 -0.319642 -0.333431 -0.398627 -0.333428 -0.319636 -0.296156 -0.287489 -0.285557 -0.333788 0.252571 0.146169 0.168012 0.134271 0.123064 0.0569812 0.12218 0.136859 0.157758 0.176694 0.147911 0.212056 
2 -39.0529 -10.6376 2.90222 0.537049 -0.293266 -0.287086 -0.301987 -0.322788 -0.341053 -0.403148 -0.341048 -0.322777 -0.301967 -0.287278 -0.285605 -0.333642 0.252578 0.146382 0.162195 0.131126 0.115443 0.0524597 0.11456 0.133719 0.151947 0.176905 0.147864 0.212201 
2.1 -37.5837 -10.6954 2.84441 0.576175 -0.293242 -0.28724 -0.307616 -0.326063 -0.349949 -0.406404 -0.349943 -0.32605 -0.307601 -0.287433 -0.285695 -0.332522 0.252601 0.146228 0.156566 0.127851 0.106547 0.0492036 0.105665 0.130445 0.146313 0.176749 0.147773 0.213322 
2.2 -36.1033 -10.7481 2.79166 0.610466 -0.293175 -0.288396 -0.312044 -0.330176 -0.359795 -0.40855 -0.35979 -0.330171 -0.312046 -0.288597 -0.285763 -0.330797 0.252669 0.145073 0.152139 0.123738 0.0967007 0.0470581 0.0958179 0.126325 0.141868 0.175586 0.147705 0.215046 
2.3 -34.0169 -10.8032 2.73655 0.640161 -0.293019 -0.291262 -0.315396 -0.335666 -0.370213 -0.409781 -0.370209 -0.335674 -0.315417 -0.291482 -0.285722 -0.329043 0.252825 0.142206 0.148787 0.118247 0.0862829 0.0458272 0.0853986 0.120822 0.138497 0.1727 0.147747 0.2168 
2.4 -31.5237 -10.8659 2.6739 0.665719 -0.292756 -0.295966 -0.318352 -0.342654 -0.380776 -0.410321 -0.380776 -0.342677 -0.318381 -0.296227 -0.285516 -0.327846 0.253088 0.137503 0.14583 0.111259 0.0757192 0.0452868 0.0748318 0.113819 0.135533 0.167956 0.147953 0.217997 
2.5 -29.457 -10.9318 2.60802 0.687755 -0.292499 -0.30172 -0.321057 -0.350976 -0.39103 -0.410407 -0.391034 -0.351009 -0.321085 -0.302071 -0.285241 -0.327604 0.253344 0.131749 0.143125 0.102938 0.0654652 0.0452004 0.0645741 0.105486 0.132829 0.162112 0.148228 0.218239 
2.6 -27.9889 -10.9949 2.54485 0.707051 -0.292638 -0.307246 -0.323813 -0.360353 -0.400517 -0.410257 -0.400523 -0.36039 -0.323838 -0.307759 -0.285272 -0.328391 0.253206 0.126222 0.140369 0.0935609 0.0559781 0.0453505 0.0550845 0.0961052 0.130076 0.156423 0.148197 0.217453 
2.7 -26.511 -11.0543 2.48553 0.724348 -0.293904 -0.311531 -0.32733 -0.370459 -0.408829 -0.410062 -0.408834 -0.370493 -0.327356 -0.312282 -0.286298 -0.329919 0.25194 0.121938 0.136852 0.0834546 0.0476667 0.0455461 0.0467736 0.0860027 0.126558 0.1519 0.14717 0.215925 
2.8 -24.4313 -11.1144 2.42541 0.740226 -0.297162 -0.314692 -0.332153 -0.380919 -0.415652 -0.410001 -0.415653 -0.38094 -0.332184 -0.315754 -0.289091 -0.331631 0.248682 0.118776 0.13203 0.0729953 0.0408436 0.0456072 0.0399546 0.0755558 0.12173 0.148428 0.144378 0.214213 
2.9 -22.1991 -11.1764 2.36341 0.755111 -0.30269 -0.317374 -0.338414 -0.391302 -0.420797 -0.410221 -0.420791 -0.391304 -0.338457 -0.318828 -0.293907 -0.331876 0.243154 0.116095 0.125768 0.0626123 0.0356985 0.0453869 0.0348167 0.0651916 0.115457 0.145354 0.139561 0.213967 
3 -20.1801 -11.2339 2.30593 0.769275 -0.309841 -0.319658 -0.345969 -0.401142 -0.424204 -0.41082 -0.42419 -0.401122 -0.34603 -0.321621 -0.300001 -0.329406 0.236002 0.113811 0.118214 0.0527719 0.0322917 0.0447876 0.0314176 0.0553738 0.107884 0.142561 0.133467 0.216438 
3.1 -18.8321 -11.2844 2.25543 0.782856 -0.317442 -0.321776 -0.354561 -0.409971 -0.425939 -0.411828 -0.425919 -0.409928 -0.354657 -0.324417 -0.305918 -0.325878 0.228401 0.111692 0.109622 0.0439425 0.0305567 0.0437802 0.0296887 0.0465671 0.0992571 0.139765 0.12755 0.219966 
3.2 -17.6278 -11.3304 2.20937 0.795899 -0.324289 -0.324374 -0.363883 -0.417363 -0.426171 -0.413208 -0.426149 -0.417302 -0.364044 -0.327911 -0.31041 -0.324025 0.221555 0.109094 0.100299 0.0365507 0.0303241 0.0424003 0.0294591 0.0391932 0.0898696 0.136271 0.123059 0.221818 
