h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -6.69168 -4.9738e-14 64 0.521908 4.26326e-14 64 
0.1 -6.87853 4.26326e-14 64 0.792819 6.31907e-07 61 
0.2 -7.25113 7.83068e-07 61 1.22968 5.64583e-07 61 
0.3 -7.68823 6.93347e-07 56 1.62012 4.47697e-07 62 
0.4 -8.15935 6.48355e-07 50 1.9572 4.19821e-08 63 
0.5 -8.65257 6.28365e-07 45 2.25789 3.0098e-07 61 
0.6 -9.16168 2.42691e-06 40 2.53388 5.39747e-07 58 
0.7 -9.6829 2.87491e-06 36 2.79227 7.73873e-07 56 
0.8 -10.2137 2.60374e-06 31 3.03763 7.94759e-07 54 
0.9 -10.7522 2.65007e-06 30 3.27313 9.62067e-07 53 
1 -11.2972 3.2764e-06 28 3.50105 5.90972e-07 53 
1.1 -11.8476 3.36988e-06 27 3.72308 1.00175e-06 51 
1.2 -12.4026 2.92386e-06 26 3.9405 1.20995e-06 50 
1.3 -12.9616 4.64945e-06 26 4.15429 1.21443e-06 49 
1.4 -13.524 6.51557e-06 26 4.36522 1.26262e-06 47 
1.5 -14.0895 6.62973e-06 25 4.57387 1.25866e-06 46 
1.6 -14.6576 5.48855e-06 24 4.78069 1.137e-06 45 
1.7 -15.228 6.35839e-06 23 4.98605 1.25317e-06 44 
1.8 -15.8006 1.02841e-05 22 5.19024 1.49722e-06 43 
1.9 -16.375 8.61208e-06 21 5.39347 1.62057e-06 42 
2 -16.9512 7.25066e-06 20 5.59592 4.78968e-06 40 
2.1 -17.5289 8.16773e-06 18 5.79775 3.8824e-06 40 
2.2 -18.1079 1.40319e-05 16 5.99906 3.19306e-06 39 
2.3 -18.6882 1.44652e-05 15 6.19994 6.06375e-06 38 
2.4 -19.2697 1.20296e-05 15 6.40048 5.59751e-06 37 
2.5 -19.8522 1.36734e-05 14 6.60074 5.35343e-06 36 
2.6 -20.4356 1.15366e-05 14 6.80075 7.45443e-06 35 
2.7 -21.02 1.27124e-05 14 7.00058 6.27276e-06 34 
2.8 -21.6051 1.35689e-05 14 7.20024 6.11976e-06 33 
2.9 -22.1911 1.15778e-05 14 7.39977 5.21335e-06 32 
3 -22.7777 9.91901e-06 14 7.5992 4.35463e-06 32 
3.1 -23.3649 8.5306e-06 14 7.79854 3.70623e-06 32 
3.2 -23.9528 7.36341e-06 14 7.9978 6.22739e-06 32 
3.3 -24.5412 6.37812e-06 14 8.19701 6.90808e-06 31 
3.4 -25.1302 5.54305e-06 14 8.39617 6.42806e-06 31 
3.5 -25.7196 4.83263e-06 14 8.59529 1.00971e-05 31 
3.6 -26.3095 4.22605e-06 14 8.79438 9.10591e-06 31 
3.7 -26.8998 3.70635e-06 14 8.99342 4.43742e-05 30 
3.8 -27.4905 3.2596e-06 14 9.19236 8.22892e-05 30 
3.9 -28.0816 2.87435e-06 14 9.39096 0.000294693 30 
4 -28.673 2.54112e-06 14 9.58808 0.001146 30 
4.1 -29.2648 1.15638e-05 13 9.78183 0.000677312 28 
4.2 -29.8568 1.76873e-05 13 9.9799 5.11307e-05 25 
4.3 -30.4492 1.71806e-05 12 10.1787 7.65948e-06 22 
4.4 -31.0419 1.58948e-05 12 10.3775 7.16657e-06 21 
4.5 -31.6348 1.47278e-05 12 10.5764 5.6727e-06 21 
4.6 -32.228 1.36666e-05 12 10.7753 4.99423e-06 21 
4.7 -32.8214 1.27e-05 12 10.9743 8.84385e-06 20 
4.8 -33.415 1.18178e-05 12 11.1732 7.33067e-06 20 
4.9 -34.0089 1.86552e-05 10 11.3722 6.45965e-06 20 
5 -34.6029 3.32268e-05 10 11.5712 1.7724e-05 19 
5.1 -35.1972 6.66355e-05 9 11.7703 2.63619e-05 19 
5.2 -35.7916 6.22208e-05 9 11.9693 2.44777e-05 19 
5.3 -36.3862 6.53806e-05 9 12.1684 2.31244e-05 18 
5.4 -36.981 6.11874e-05 9 12.3675 2.15204e-05 18 
5.5 -37.5759 5.73245e-05 9 12.5667 2.00794e-05 18 
5.6 -38.171 5.37613e-05 9 12.7658 2.34106e-05 18 
5.7 -38.7663 5.04702e-05 9 12.965 2.19286e-05 18 
5.8 -39.3616 4.74269e-05 9 13.1642 3.4392e-05 18 
5.9 -39.9571 4.46092e-05 9 13.3634 3.74387e-05 17 
6 -40.5528 5.86142e-05 8 13.5626 3.60169e-05 17 
