h en0 var0 maxBondDim0 gap var1 maxBondDim1 
0 -78.4573 0.000100968 612 0.201267 0.000103798 814 
0.1 -81.9819 0.000114169 221 1.09766 0.000109218 550 
0.2 -86.6496 0.000123241 160 1.54834 0.000119287 392 
0.3 -91.6872 0.000140065 126 1.89137 0.000133566 305 
0.4 -96.9526 0.000153347 103 2.18332 0.000146797 249 
0.5 -102.38 0.000221605 89 2.44613 0.000202199 210 
0.6 -107.93 0.000204643 75 2.69074 0.000193638 181 
0.7 -113.577 0.000195409 68 2.92325 0.000189493 161 
0.8 -119.304 0.0002308 64 3.14736 0.000221053 144 
0.9 -125.098 0.000235414 58 3.36544 0.000228308 129 
1 -130.948 0.00026872 54 3.57909 0.000259988 119 
1.1 -136.846 0.000350836 49 3.78941 0.0003314 107 
1.2 -142.785 0.000654775 48 3.9972 0.000596335 99 
1.3 -148.762 0.00062877 43 4.20305 0.000578025 93 
1.4 -154.77 0.000593025 40 4.40739 0.000550406 86 
1.5 -160.807 0.000519719 38 4.61054 0.000491701 81 
1.6 -166.87 0.000485318 37 4.81277 0.000461808 77 
1.7 -172.955 0.000539517 36 5.01426 0.000511762 74 
1.8 -179.06 0.000710433 35 5.21515 0.000638187 70 
1.9 -185.184 0.000891527 33 5.41559 0.000832317 67 
2 -191.325 0.000877743 30 5.61565 0.000830945 65 
2.1 -197.481 0.00122679 29 5.81541 0.00114437 63 
2.2 -203.651 0.00121139 28 6.01493 0.00113511 61 
2.3 -209.834 0.0011654 26 6.21426 0.00108402 58 
2.4 -216.029 0.00121443 25 6.41345 0.00114631 56 
2.5 -222.234 0.00127704 24 6.61251 0.00120959 54 
2.6 -228.45 0.0011812 23 6.81148 0.00114417 52 
2.7 -234.674 0.00106914 22 7.01038 0.00102913 52 
2.8 -240.907 0.00101628 22 7.20922 0.000978365 51 
2.9 -247.148 0.000915144 22 7.40802 0.000886377 50 
3 -253.397 0.000822983 22 7.60679 0.000802544 50 
3.1 -259.652 0.000742471 22 7.80554 0.000728195 49 
3.2 -265.913 0.000671854 22 8.00427 0.000661804 48 
3.3 -272.181 0.000609678 22 8.203 0.000603201 47 
3.4 -278.454 0.000565657 22 8.40173 0.000563962 46 
3.5 -284.733 0.000597958 21 8.60047 0.000594464 45 
3.6 -291.016 0.000547534 21 8.79921 0.000553727 44 
3.7 -297.304 0.000508197 21 8.99796 0.000528092 43 
3.8 -303.597 0.000937274 21 9.19672 0.000925664 41 
3.9 -309.893 0.000928312 20 9.3955 0.000919789 41 
4 -316.194 0.000856018 20 9.59429 0.000858446 40 
4.1 -322.498 0.000811786 20 9.7931 0.000816317 39 
4.2 -328.805 0.00075734 20 9.99193 0.000756721 39 
4.3 -335.116 0.000768446 19 10.1908 0.000771489 38 
4.4 -341.43 0.00128413 18 10.3896 0.00128068 38 
4.5 -347.747 0.0011964 18 10.5885 0.00116661 36 
4.6 -354.067 0.00111609 18 10.7874 0.00110364 36 
4.7 -360.389 0.001253 18 10.9864 0.00122535 34 
4.8 -366.714 0.00118363 18 11.1853 0.00116187 34 
4.9 -373.041 0.00150981 16 11.3843 0.00146454 32 
5 -379.371 0.00158713 16 11.5833 0.00154186 31 
5.1 -385.703 0.00149967 15 11.7823 0.00148978 30 
5.2 -392.037 0.00172691 15 11.9813 0.00169109 30 
5.3 -398.373 0.00165789 15 12.1803 0.00164459 28 
